TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,0607-CRM-04,Sample size,75.080 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,6/7/2017 9:48:38 AM,,
Sample start time,,6/7/2017 9:48:38 AM,,
Sample size,,75.080 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,6/7/2017 9:48:39 AM,,
Stir,,,,
Creation time,,6/7/2017 9:48:39 AM,,
Titration (EQP) [1],,,,
Creation time,,6/7/2017 9:48:49 AM,,
Terminated at,,Potential,,
EST,,-20.4 mV,,
VEX,,3.1000 mL,,
VEND,,3.1000 mL,,
t,,14.03 min,,
QEND,,0.031000 mmol,,
QEX,,0.031000 mmol,,
EPD,,206.1 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-20.4,22.0,
6,0.1000,-24.1,22.0,
26,0.2000,-11.5,22.0,
46,0.3000,9.0,22.0,
66,0.4000,19.6,22.0,
86,0.5000,27.4,22.0,
106,0.6000,33.8,22.0,
126,0.7000,39.4,21.9,
146,0.8000,44.5,21.9,
162,0.9000,49.3,21.9,
176,1.0000,54.3,21.9,
190,1.1000,59.9,21.9,
207,1.2000,66.0,21.9,
214,1.3000,72.8,21.9,
220,1.4000,80.6,21.9,
240,1.5000,93.1,21.8,
260,1.6000,111.8,21.9,
280,1.7000,142.3,21.8,
300,1.8000,166.5,21.8,
321,1.9000,181.2,21.8,
336,2.0000,192.2,21.8,
346,2.1000,199.0,21.8,
355,2.2000,204.3,21.8,
723,2.2500,208.1,21.6,
730,2.3000,210.1,21.6,
736,2.3500,211.9,21.6,
743,2.4000,213.6,21.6,
749,2.4500,215.3,21.6,
756,2.5000,216.8,21.6,
763,2.5500,218.3,21.6,
769,2.6000,219.6,21.6,
776,2.6500,220.9,21.6,
783,2.7000,222.2,21.6,
790,2.7500,223.3,21.6,
796,2.8000,224.4,21.6,
802,2.8500,225.5,21.6,
809,2.9000,226.6,21.6,
815,2.9500,227.5,21.6,
821,3.0000,228.5,21.6,
827,3.0500,229.4,21.5,
832,3.1000,230.3,21.5,
Report,,,,
,,Creation time,6/7/2017 10:02:57 AM,
 ,,,,
6/7/2017 10:02:57 AM,SystemInternal,,1/1,
