TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,0531-MIDDAYCRM-01,Sample size,64.202 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 1:05:43 PM,,
Sample start time,,5/31/2017 1:05:43 PM,,
Sample size,,64.202 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 1:05:44 PM,,
Stir,,,,
Creation time,,5/31/2017 1:05:44 PM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 1:05:54 PM,,
Terminated at,,Potential,,
EST,,-59.8 mV,,
VEX,,2.7000 mL,,
VEND,,2.7000 mL,,
t,,13.03 min,,
QEND,,0.027000 mmol,,
QEX,,0.027000 mmol,,
EPD,,205.4 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-59.8,22.4,
18,0.1000,-53.3,22.5,
38,0.2000,-31.3,22.4,
58,0.3000,-10.8,22.4,
78,0.4000,1.8,22.4,
98,0.5000,12.1,22.4,
118,0.6000,20.8,22.4,
138,0.7000,29.1,22.4,
158,0.8000,36.9,22.3,
163,0.9000,42.7,22.3,
183,1.0000,51.7,22.3,
204,1.1000,61.4,22.3,
224,1.2000,72.8,22.3,
230,1.3000,86.7,22.3,
236,1.4000,111.1,22.3,
256,1.5000,151.3,22.3,
276,1.6000,173.4,22.2,
296,1.7000,186.7,22.2,
308,1.8000,195.2,22.2,
316,1.9000,201.6,22.2,
683,1.9500,207.7,22.0,
690,2.0000,210.0,22.0,
696,2.0500,212.0,22.0,
702,2.1000,213.9,22.0,
708,2.1500,215.8,22.0,
714,2.2000,217.4,22.0,
720,2.2500,219.0,22.0,
727,2.3000,220.5,22.0,
732,2.3500,221.9,22.0,
738,2.4000,223.2,22.0,
743,2.4500,224.5,22.0,
749,2.5000,225.7,22.0,
755,2.5500,226.8,22.0,
761,2.6000,228.0,22.0,
767,2.6500,229.0,22.0,
772,2.7000,230.0,22.0,
Report,,,,
,,Creation time,5/31/2017 1:19:02 PM,
 ,,,,
5/31/2017 1:19:02 PM,SystemInternal,,1/1,
