TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,0531-CRM-02,Sample size,62.918 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 9:00:16 AM,,
Sample start time,,5/31/2017 9:00:16 AM,,
Sample size,,62.918 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 9:00:17 AM,,
Stir,,,,
Creation time,,5/31/2017 9:00:17 AM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 9:00:27 AM,,
Terminated at,,Potential,,
EST,,43.6 mV,,
VEX,,2.3000 mL,,
VEND,,2.3000 mL,,
t,,11.83 min,,
QEND,,0.023000 mmol,,
QEX,,0.023000 mmol,,
EPD,,206.7 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,43.6,21.8,
18,0.1000,32.5,21.9,
38,0.2000,38.6,21.8,
52,0.3000,45.9,21.8,
66,0.4000,50.6,21.8,
79,0.5000,54.3,21.8,
91,0.6000,57.7,21.8,
101,0.7000,60.9,21.8,
114,0.8000,64.8,21.8,
119,0.9000,68.1,21.8,
126,1.0000,74.5,21.8,
131,1.1000,79.9,21.7,
137,1.2000,89.5,21.7,
157,1.3000,113.9,21.7,
177,1.4000,146.9,21.7,
198,1.5000,168.6,21.7,
218,1.6000,182.9,21.7,
238,1.7000,193.2,21.7,
247,1.8000,199.2,21.7,
616,1.8500,208.7,21.5,
627,1.9000,211.0,21.4,
636,1.9500,212.9,21.4,
644,2.0000,214.7,21.4,
654,2.0500,216.6,21.4,
664,2.1000,218.3,21.4,
674,2.1500,219.9,21.4,
683,2.2000,221.3,21.4,
692,2.2500,222.7,21.4,
701,2.3000,224.1,21.4,
Report,,,,
,,Creation time,5/31/2017 9:12:23 AM,
 ,,,,
5/31/2017 9:12:23 AM,SystemInternal,,1/1,
