TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,0607-MIDDAYCRM-01,Sample size,61.729 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,6/7/2017 1:08:29 PM,,
Sample start time,,6/7/2017 1:08:29 PM,,
Sample size,,61.729 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,6/7/2017 1:08:29 PM,,
Stir,,,,
Creation time,,6/7/2017 1:08:29 PM,,
Titration (EQP) [1],,,,
Creation time,,6/7/2017 1:08:40 PM,,
Terminated at,,Potential,,
EST,,-33.0 mV,,
VEX,,2.5500 mL,,
VEND,,2.5500 mL,,
t,,12.1 min,,
QEND,,0.025500 mmol,,
QEX,,0.025500 mmol,,
EPD,,205.8 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-33.0,22.3,
18,0.1000,-32.0,22.3,
38,0.2000,-8.1,22.3,
58,0.3000,8.4,22.3,
78,0.4000,19.1,22.3,
98,0.5000,28.1,22.2,
118,0.6000,35.5,22.2,
138,0.7000,42.9,22.2,
144,0.8000,49.9,22.2,
165,0.9000,57.1,22.2,
182,1.0000,65.7,22.2,
190,1.1000,75.6,22.1,
196,1.2000,87.8,22.1,
201,1.3000,109.9,22.1,
221,1.4000,151.3,22.1,
242,1.5000,176.0,22.1,
255,1.6000,189.2,22.1,
264,1.7000,198.0,22.1,
272,1.8000,204.5,22.1,
639,1.8500,208.4,21.8,
644,1.9000,210.7,21.8,
649,1.9500,212.9,21.8,
655,2.0000,214.9,21.8,
661,2.0500,216.8,21.8,
667,2.1000,218.5,21.8,
673,2.1500,220.2,21.8,
679,2.2000,221.7,21.8,
685,2.2500,223.1,21.8,
690,2.3000,224.5,21.8,
696,2.3500,225.8,21.8,
701,2.4000,227.0,21.8,
706,2.4500,228.2,21.8,
712,2.5000,229.3,21.8,
718,2.5500,230.4,21.8,
Report,,,,
,,Creation time,6/7/2017 1:20:52 PM,
 ,,,,
6/7/2017 1:20:52 PM,SystemInternal,,1/1,
