TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,0531-CRM-04,Sample size,68.261 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 9:39:44 AM,,
Sample start time,,5/31/2017 9:39:44 AM,,
Sample size,,68.261 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 9:39:44 AM,,
Stir,,,,
Creation time,,5/31/2017 9:39:44 AM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 9:39:55 AM,,
Terminated at,,Potential,,
EST,,13.5 mV,,
VEX,,2.6000 mL,,
VEND,,2.6000 mL,,
t,,14.52 min,,
QEND,,0.026000 mmol,,
QEX,,0.026000 mmol,,
EPD,,205.3 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,13.5,22.1,
4,0.1000,10.5,22.1,
24,0.2000,15.9,22.1,
44,0.3000,25.6,22.1,
64,0.4000,31.5,22.1,
84,0.5000,36.2,22.1,
104,0.6000,40.4,22.0,
124,0.7000,44.3,22.0,
144,0.8000,48.5,22.0,
164,0.9000,52.9,22.0,
184,1.0000,57.4,22.0,
204,1.1000,62.5,22.0,
224,1.2000,69.0,22.0,
244,1.3000,77.2,21.9,
264,1.4000,90.6,21.9,
284,1.5000,114.8,21.9,
304,1.6000,145.0,21.9,
324,1.7000,166.3,21.9,
345,1.8000,181.0,21.9,
365,1.9000,191.5,21.9,
385,2.0000,199.5,21.8,
756,2.0500,207.3,21.7,
766,2.1000,209.4,21.7,
777,2.1500,211.5,21.7,
786,2.2000,213.3,21.7,
798,2.2500,215.1,21.7,
808,2.3000,216.8,21.6,
817,2.3500,218.3,21.6,
827,2.4000,219.9,21.6,
838,2.4500,221.3,21.6,
846,2.5000,222.5,21.6,
854,2.5500,223.8,21.6,
862,2.6000,225.0,21.6,
Report,,,,
,,Creation time,5/31/2017 9:54:32 AM,
 ,,,,
5/31/2017 9:54:32 AM,SystemInternal,,1/1,
