TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,0517-CRM8,Sample size,66.922 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/17/2017 10:59:17 AM,,
Sample start time,,5/17/2017 10:59:17 AM,,
Sample size,,66.922 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/17/2017 10:59:18 AM,,
Stir,,,,
Creation time,,5/17/2017 10:59:18 AM,,
Titration (EQP) [1],,,,
Creation time,,5/17/2017 10:59:28 AM,,
Terminated at,,Potential,,
EST,,-52.4 mV,,
VEX,,2.3000 mL,,
VEND,,2.3000 mL,,
t,,10.73 min,,
QEND,,0.023000 mmol,,
QEX,,0.023000 mmol,,
EPD,,200.5 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-52.4,22.8,
17,0.1000,-45.5,22.8,
38,0.2000,-20.5,22.8,
58,0.3000,1.8,22.7,
78,0.4000,14.7,22.7,
95,0.5000,24.5,22.7,
109,0.6000,32.5,22.7,
115,0.7000,39.1,22.7,
120,0.8000,45.5,22.7,
127,0.9000,53.1,22.7,
132,1.0000,59.8,22.7,
138,1.1000,68.2,22.7,
144,1.2000,78.0,22.7,
150,1.3000,90.6,22.7,
158,1.4000,109.4,22.7,
178,1.5000,143.9,22.6,
197,1.6000,172.7,22.6,
211,1.7000,188.2,22.6,
217,1.8000,197.8,22.6,
583,1.8500,204.0,22.4,
589,1.9000,207.2,22.4,
595,1.9500,210.1,22.4,
600,2.0000,212.7,22.4,
606,2.0500,215.0,22.4,
612,2.1000,217.1,22.4,
618,2.1500,219.1,22.4,
624,2.2000,221.0,22.3,
630,2.2500,222.7,22.3,
636,2.3000,224.3,22.3,
Report,,,,
,,Creation time,5/17/2017 11:10:18 AM,
 ,,,,
5/17/2017 11:10:18 AM,SystemInternal,,1/1,
