TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,0531-ENDCRM-02,Sample size,68.842 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 3:31:02 PM,,
Sample start time,,5/31/2017 3:31:02 PM,,
Sample size,,68.842 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 3:31:03 PM,,
Stir,,,,
Creation time,,5/31/2017 3:31:03 PM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 3:31:13 PM,,
Terminated at,,Potential,,
EST,,16.3 mV,,
VEX,,2.9000 mL,,
VEND,,2.9000 mL,,
t,,13.73 min,,
QEND,,0.029000 mmol,,
QEX,,0.029000 mmol,,
EPD,,204.9 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,16.3,22.7,
18,0.1000,2.5,22.8,
38,0.2000,9.8,22.8,
58,0.3000,22.8,22.7,
78,0.4000,30.1,22.7,
98,0.5000,36.0,22.7,
115,0.6000,41.2,22.7,
131,0.7000,46.1,22.7,
148,0.8000,50.8,22.6,
166,0.9000,55.8,22.6,
172,1.0000,60.7,22.6,
180,1.1000,66.8,22.6,
200,1.2000,74.0,22.6,
206,1.3000,81.7,22.6,
212,1.4000,92.3,22.6,
232,1.5000,118.0,22.6,
252,1.6000,151.0,22.5,
272,1.7000,172.5,22.5,
292,1.8000,186.1,22.5,
310,1.9000,195.4,22.5,
322,2.0000,201.8,22.5,
692,2.0500,207.1,22.2,
700,2.1000,209.2,22.2,
709,2.1500,211.3,22.2,
718,2.2000,213.2,22.2,
725,2.2500,214.9,22.1,
733,2.3000,216.7,22.1,
740,2.3500,218.2,22.2,
748,2.4000,219.7,22.1,
756,2.4500,221.1,22.1,
762,2.5000,222.4,22.1,
769,2.5500,223.7,22.1,
776,2.6000,224.6,22.1,
783,2.6500,225.8,22.1,
789,2.7000,226.9,22.1,
796,2.7500,228.0,22.1,
803,2.8000,229.0,22.1,
809,2.8500,229.9,22.1,
815,2.9000,230.9,22.1,
Report,,,,
,,Creation time,5/31/2017 3:45:03 PM,
 ,,,,
5/31/2017 3:45:03 PM,SystemInternal,,1/1,
