TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,0517-CRM7,Sample size,67.450 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/17/2017 10:45:07 AM,,
Sample start time,,5/17/2017 10:45:07 AM,,
Sample size,,67.450 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/17/2017 10:45:07 AM,,
Stir,,,,
Creation time,,5/17/2017 10:45:07 AM,,
Titration (EQP) [1],,,,
Creation time,,5/17/2017 10:45:18 AM,,
Terminated at,,Potential,,
EST,,-51.4 mV,,
VEX,,2.3500 mL,,
VEND,,2.3500 mL,,
t,,11.02 min,,
QEND,,0.023500 mmol,,
QEX,,0.023500 mmol,,
EPD,,198.9 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-51.4,22.7,
18,0.1000,-45.0,22.7,
38,0.2000,-20.8,22.7,
58,0.3000,1.8,22.7,
78,0.4000,14.5,22.7,
95,0.5000,24.3,22.7,
111,0.6000,32.5,22.7,
126,0.7000,39.9,22.6,
140,0.8000,46.8,22.6,
146,0.9000,53.5,22.6,
152,1.0000,60.5,22.6,
158,1.1000,68.4,22.6,
164,1.2000,77.8,22.6,
171,1.3000,89.7,22.6,
178,1.4000,106.9,22.6,
184,1.5000,136.5,22.6,
204,1.6000,169.2,22.6,
219,1.7000,186.2,22.6,
227,1.8000,196.5,22.6,
593,1.8500,202.5,22.4,
600,1.9000,205.9,22.4,
606,1.9500,208.4,22.4,
612,2.0000,211.1,22.4,
618,2.0500,213.6,22.4,
624,2.1000,215.9,22.4,
630,2.1500,217.9,22.4,
636,2.2000,219.8,22.4,
641,2.2500,221.6,22.4,
647,2.3000,223.3,22.4,
653,2.3500,224.9,22.3,
Report,,,,
,,Creation time,5/17/2017 10:56:28 AM,
 ,,,,
5/17/2017 10:56:28 AM,SystemInternal,,1/1,
