TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,0531-CRM-03,Sample size,63.630 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 9:14:39 AM,,
Sample start time,,5/31/2017 9:14:39 AM,,
Sample size,,63.630 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 9:14:40 AM,,
Stir,,,,
Creation time,,5/31/2017 9:14:40 AM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 9:14:50 AM,,
Terminated at,,Potential,,
EST,,13.9 mV,,
VEX,,2.4000 mL,,
VEND,,2.4000 mL,,
t,,13.13 min,,
QEND,,0.024000 mmol,,
QEX,,0.024000 mmol,,
EPD,,201.3 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,13.9,21.9,
18,0.1000,4.4,21.9,
38,0.2000,12.8,21.9,
58,0.3000,23.1,21.9,
78,0.4000,29.7,21.9,
98,0.5000,35.1,21.9,
118,0.6000,39.9,21.9,
137,0.7000,44.5,21.8,
156,0.8000,49.3,21.8,
161,0.9000,52.8,21.8,
166,1.0000,57.3,21.8,
172,1.1000,62.4,21.8,
192,1.2000,73.4,21.8,
212,1.3000,87.6,21.8,
232,1.4000,113.4,21.8,
252,1.5000,148.8,21.8,
272,1.6000,172.1,21.7,
292,1.7000,186.9,21.7,
312,1.8000,196.8,21.7,
684,1.8500,204.0,21.5,
694,1.9000,206.6,21.5,
705,1.9500,209.0,21.5,
713,2.0000,211.1,21.5,
722,2.0500,213.3,21.5,
732,2.1000,215.3,21.5,
741,2.1500,217.1,21.5,
749,2.2000,218.7,21.5,
756,2.2500,220.2,21.5,
764,2.3000,221.7,21.5,
772,2.3500,223.1,21.5,
780,2.4000,224.5,21.5,
Report,,,,
,,Creation time,5/31/2017 9:28:04 AM,
 ,,,,
5/31/2017 9:28:04 AM,SystemInternal,,1/1,
