TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,0531-CRM-05,Sample size,64.415 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 10:03:19 AM,,
Sample start time,,5/31/2017 10:03:19 AM,,
Sample size,,64.415 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 10:03:20 AM,,
Stir,,,,
Creation time,,5/31/2017 10:03:20 AM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 10:03:30 AM,,
Terminated at,,Potential,,
EST,,45.4 mV,,
VEX,,2.5000 mL,,
VEND,,2.5000 mL,,
t,,12.95 min,,
QEND,,0.025000 mmol,,
QEX,,0.025000 mmol,,
EPD,,205.2 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,45.4,22.0,
18,0.1000,32.4,22.0,
38,0.2000,36.3,22.0,
55,0.3000,43.7,22.0,
69,0.4000,47.9,22.0,
83,0.5000,51.8,21.9,
97,0.6000,55.3,21.9,
111,0.7000,58.7,21.9,
126,0.8000,62.3,21.9,
142,0.9000,66.2,21.9,
147,1.0000,69.9,21.9,
152,1.1000,74.6,21.9,
172,1.2000,83.0,21.9,
177,1.3000,91.3,21.9,
198,1.4000,115.1,21.9,
218,1.5000,147.2,21.9,
238,1.6000,169.1,21.9,
258,1.7000,183.4,21.8,
278,1.8000,193.3,21.8,
296,1.9000,200.5,21.8,
664,1.9500,207.1,21.7,
675,2.0000,209.4,21.7,
685,2.0500,211.4,21.6,
695,2.1000,213.3,21.7,
705,2.1500,215.0,21.7,
717,2.2000,216.8,21.7,
727,2.2500,218.3,21.7,
735,2.3000,219.7,21.6,
743,2.3500,221.1,21.6,
752,2.4000,222.4,21.6,
760,2.4500,223.7,21.6,
769,2.5000,224.9,21.6,
Report,,,,
,,Creation time,5/31/2017 10:16:34 AM,
 ,,,,
5/31/2017 10:16:34 AM,SystemInternal,,1/1,
