TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,031716-B132-T12,Sample size,61.815 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 11:15:04 AM,,
Sample start time,,5/31/2017 11:15:04 AM,,
Sample size,,61.815 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 11:15:04 AM,,
Stir,,,,
Creation time,,5/31/2017 11:15:04 AM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 11:15:15 AM,,
Terminated at,,Potential,,
EST,,-21.6 mV,,
VEX,,2.5000 mL,,
VEND,,2.5000 mL,,
t,,13.1 min,,
QEND,,0.025000 mmol,,
QEX,,0.025000 mmol,,
EPD,,200.3 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-21.6,20.9,
4,0.1000,-24.9,20.9,
24,0.2000,-19.6,20.9,
44,0.3000,-2.0,20.9,
64,0.4000,12.1,20.9,
84,0.5000,20.6,20.9,
104,0.6000,27.8,20.9,
124,0.7000,34.2,20.9,
144,0.8000,40.3,20.9,
164,0.9000,46.3,20.9,
169,1.0000,51.5,20.9,
190,1.1000,58.3,20.9,
196,1.2000,64.9,20.9,
216,1.3000,75.3,20.9,
222,1.4000,86.2,21.0,
242,1.5000,114.8,21.0,
262,1.6000,151.6,21.0,
282,1.7000,174.1,21.0,
302,1.8000,188.0,21.0,
321,1.9000,197.3,21.0,
690,1.9500,203.1,21.0,
700,2.0000,205.8,21.0,
709,2.0500,208.4,21.0,
718,2.1000,210.7,21.0,
726,2.1500,212.8,21.0,
734,2.2000,214.7,21.0,
741,2.2500,216.6,21.0,
749,2.3000,218.2,21.0,
757,2.3500,219.9,21.0,
764,2.4000,221.3,21.0,
771,2.4500,222.7,21.0,
778,2.5000,224.1,21.0,
Report,,,,
,,Creation time,5/31/2017 11:28:27 AM,
 ,,,,
5/31/2017 11:28:27 AM,SystemInternal,,1/1,
