TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,0531-CRM-06,Sample size,65.183 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 10:20:40 AM,,
Sample start time,,5/31/2017 10:20:40 AM,,
Sample size,,65.183 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 10:20:40 AM,,
Stir,,,,
Creation time,,5/31/2017 10:20:40 AM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 10:20:51 AM,,
Terminated at,,Potential,,
EST,,-1.6 mV,,
VEX,,2.5000 mL,,
VEND,,2.5000 mL,,
t,,13.43 min,,
QEND,,0.025000 mmol,,
QEX,,0.025000 mmol,,
EPD,,204.4 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-1.6,22.2,
5,0.1000,-3.1,22.3,
25,0.2000,8.4,22.2,
45,0.3000,22.6,22.2,
66,0.4000,30.3,22.2,
86,0.5000,36.4,22.2,
105,0.6000,41.9,22.2,
120,0.7000,46.1,22.2,
125,0.8000,50.0,22.2,
145,0.9000,56.3,22.2,
165,1.0000,62.5,22.2,
185,1.1000,69.4,22.2,
205,1.2000,77.6,22.1,
212,1.3000,87.2,22.1,
232,1.4000,109.2,22.1,
252,1.5000,142.7,22.1,
272,1.6000,166.0,22.1,
292,1.7000,181.0,22.1,
313,1.8000,191.5,22.1,
332,1.9000,199.3,22.1,
703,1.9500,206.7,21.9,
712,2.0000,208.9,21.9,
721,2.0500,210.9,21.9,
729,2.1000,212.9,21.9,
738,2.1500,214.7,21.9,
746,2.2000,216.3,21.9,
755,2.2500,218.0,21.9,
765,2.3000,219.5,21.9,
772,2.3500,220.9,21.9,
780,2.4000,222.3,21.9,
789,2.4500,223.6,21.9,
797,2.5000,224.8,21.8,
Report,,,,
,,Creation time,5/31/2017 10:34:22 AM,
 ,,,,
5/31/2017 10:34:22 AM,SystemInternal,,1/1,
