TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,0607-CRM-01,Sample size,62.717 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,6/7/2017 8:56:31 AM,,
Sample start time,,6/7/2017 8:56:31 AM,,
Sample size,,62.717 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,6/7/2017 8:56:31 AM,,
Stir,,,,
Creation time,,6/7/2017 8:56:32 AM,,
Titration (EQP) [1],,,,
Creation time,,6/7/2017 8:56:42 AM,,
Terminated at,,Potential,,
EST,,-39.8 mV,,
VEX,,2.6000 mL,,
VEND,,2.6000 mL,,
t,,12.78 min,,
QEND,,0.026000 mmol,,
QEX,,0.026000 mmol,,
EPD,,208.8 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-39.8,22.0,
18,0.1000,-38.2,22.1,
38,0.2000,-16.9,22.0,
58,0.3000,1.0,22.0,
78,0.4000,11.8,22.0,
98,0.5000,20.4,22.0,
118,0.6000,28.0,22.0,
138,0.7000,34.8,21.9,
158,0.8000,41.7,21.9,
165,0.9000,48.5,21.9,
170,1.0000,54.5,21.9,
190,1.1000,64.8,21.9,
199,1.2000,76.6,21.9,
204,1.3000,92.1,21.9,
224,1.4000,129.5,21.9,
245,1.5000,161.6,21.9,
265,1.6000,179.9,21.8,
285,1.7000,191.7,21.8,
298,1.8000,199.5,21.8,
309,1.9000,205.6,21.8,
677,1.9500,211.0,21.6,
684,2.0000,213.1,21.6,
691,2.0500,215.0,21.6,
698,2.1000,216.9,21.6,
704,2.1500,218.6,21.6,
711,2.2000,220.2,21.6,
718,2.2500,221.7,21.6,
724,2.3000,223.1,21.6,
730,2.3500,224.5,21.6,
735,2.4000,225.7,21.6,
741,2.4500,227.0,21.6,
747,2.5000,228.2,21.6,
753,2.5500,229.2,21.6,
758,2.6000,230.3,21.6,
Report,,,,
,,Creation time,6/7/2017 9:09:35 AM,
 ,,,,
6/7/2017 9:09:35 AM,SystemInternal,,1/1,
