TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,0607-CRM-02,Sample size,67.784 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,6/7/2017 9:15:39 AM,,
Sample start time,,6/7/2017 9:15:39 AM,,
Sample size,,67.784 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,6/7/2017 9:15:39 AM,,
Stir,,,,
Creation time,,6/7/2017 9:15:39 AM,,
Titration (EQP) [1],,,,
Creation time,,6/7/2017 9:15:50 AM,,
Terminated at,,Potential,,
EST,,-18.0 mV,,
VEX,,2.8000 mL,,
VEND,,2.8000 mL,,
t,,12.78 min,,
QEND,,0.028000 mmol,,
QEX,,0.028000 mmol,,
EPD,,206.2 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-18.0,22.1,
6,0.1000,-22.2,22.1,
26,0.2000,-6.3,22.1,
46,0.3000,13.9,22.1,
66,0.4000,24.2,22.1,
87,0.5000,31.7,22.1,
106,0.6000,38.2,22.0,
124,0.7000,43.9,22.0,
138,0.8000,49.3,22.0,
154,0.9000,54.8,22.0,
168,1.0000,60.9,22.0,
186,1.1000,67.9,22.0,
192,1.2000,75.0,22.0,
197,1.3000,85.2,22.0,
203,1.4000,99.6,22.0,
223,1.5000,131.1,22.0,
243,1.6000,162.3,21.9,
264,1.7000,180.2,21.9,
279,1.8000,191.1,21.9,
289,1.9000,198.6,21.9,
299,2.0000,204.6,21.9,
666,2.0500,208.4,21.7,
674,2.1000,210.6,21.7,
680,2.1500,212.6,21.7,
688,2.2000,214.5,21.7,
694,2.2500,216.2,21.7,
701,2.3000,217.8,21.7,
706,2.3500,219.4,21.7,
713,2.4000,220.8,21.6,
719,2.4500,222.2,21.6,
726,2.5000,223.5,21.6,
731,2.5500,224.7,21.6,
736,2.6000,225.9,21.6,
741,2.6500,227.0,21.6,
747,2.7000,228.1,21.6,
752,2.7500,229.1,21.6,
757,2.8000,230.1,21.6,
Report,,,,
,,Creation time,6/7/2017 9:28:42 AM,
 ,,,,
6/7/2017 9:28:42 AM,SystemInternal,,1/1,
